name,code,zero,one,two,three,four,pop
China,CHN,56,0,255,481,0,736
France,FRA,55,0,0,735,0,735
Germany,DEU,58,17,117,572,59,748
Italy,ITA,22,7,32,761,0,793
Mexico,MEX,58,583,0,181,0,181
Spain,ESP,69,0,132,508,96,736
Thailand,THA,65,0,300,354,106,760
Turkey,TUR,23,376,61,299,66,426
United Kingdom,GBR,167,35,257,356,0,613
United States,USA,35,21,36,673,58,767
Afghanistan,AFG,87,349,211,107,71,389
Albania,ALB,164,246,120,204,70,394
Algeria,DZA,71,145,49,99,448,596
Andorra,AND,105,144,536,33,0,569
Angola,AGO,36,62,142,261,269,672
Argentina,ARG,70,0,177,179,385,741
Aruba,ABW,117,346,36,235,85,356
Australia,AUS,31,0,0,203,591,794
Austria,AUT,68,42,55,660,0,715
Azerbaijan,AZE,29,94,15,61,613,689
Bahamas,BHS,83,480,103,60,99,262
Bahrain,BHR,26,160,377,261,0,638
Bangladesh,BGD,21,68,339,373,1,713
Barbados,BRB,25,145,648,0,0,648
Belarus,BLR,73,29,209,298,208,715
Belgium,BEL,63,16,0,601,128,729
Belize,BLZ,32,450,140,34,166,340
Benin,BEN,31,252,235,251,56,542
Bermuda,BMU,37,140,520,42,83,645
Bhutan,BTN,14,65,178,431,137,746
Bolivia,BOL,72,165,231,69,288,588
Bosnia and Herzegovina,BIH,111,567,0,126,21,147
Botswana,BWA,27,504,59,3,232,294
Brazil,BRA,72,441,6,131,147,284
Brunei,BRN,29,0,167,68,556,791
Bulgaria,BGR,33,145,136,481,30,647
Burkina Faso,BFA,80,419,109,34,183,326
Burundi,BDI,85,293,295,132,13,440
Cambodia,KHM,72,0,702,44,0,746
Cameroon,CMR,72,374,135,57,187,379
Canada,CAN,21,56,0,0,748,748
Cape Verde,CPV,57,538,0,21,207,228
Central African Republic,CAF,85,0,623,0,110,733
Chad,TCD,67,189,335,68,152,555
Chile,CHL,85,14,239,240,245,724
Colombia,COL,71,188,48,107,404,559
Congo,COG,62,182,418,0,156,574
Costa Rica,CRI,76,447,96,62,137,295
Cote d'Ivoire,CIV,75,347,90,102,209,401
Croatia,HRV,34,281,150,289,70,509
Cuba,CUB,51,229,240,37,256,533
Cyprus,CYP,72,105,96,458,86,640
Czechia,CZE,26,55,232,473,29,734
Democratic Republic of Congo,COD,75,437,89,108,104,301
Denmark,DNK,62,18,221,333,174,728
Djibouti,DJI,77,513,47,67,121,235
Dominica,DMA,81,73,532,4,128,664
Dominican Republic,DOM,75,437,89,108,104,301
Ecuador,ECU,61,208,342,81,133,556
Egypt,EGY,111,0,603,0,104,707
El Salvador,SLV,74,429,0,105,191,296
Eritrea,ERI,70,0,126,166,463,755
Estonia,EST,71,20,510,223,0,733
Eswatini,SWZ,28,469,80,10,216,306
Ethiopia,ETH,27,156,468,172,0,640
Faeroe Islands,FRO,81,328,308,88,16,412
Fiji,FJI,33,0,43,484,263,790
Finland,FIN,36,0,207,506,59,772
Gabon,GAB,37,69,302,307,103,712
Gambia,GMB,79,320,210,3,207,420
Georgia,GEO,27,193,230,260,114,604
Ghana,GHA,23,542,0,26,220,246
Greece,GRC,73,77,55,604,0,659
Greenland,GRL,72,136,149,62,400,611
Guam,GUM,75,120,425,77,56,558
Guatemala,GTM,20,218,145,269,153,567
Guinea,GIN,66,303,160,96,195,451
Guyana,GUY,17,223,0,299,268,567
Haiti,HTI,34,236,441,34,72,547
Honduras,HND,75,284,76,232,149,457
Hong Kong,HKG,0,26,137,435,218,790
Hungary,HUN,68,125,134,179,308,621
Iceland,ISL,59,145,161,452,0,613
India,IND,25,55,168,357,219,744
Indonesia,IDN,17,32,0,631,145,776
Iran,IRN,192,0,37,597,0,634
Iraq,IRQ,50,163,0,442,163,605
Ireland,IRL,127,0,277,422,0,699
Israel,ISR,32,35,80,87,591,758
Jamaica,JAM,30,53,450,191,86,727
Japan,JPN,6,44,25,281,470,776
Jordan,JOR,95,79,0,453,177,630
Kazakhstan,KAZ,28,23,0,638,137,775
Kenya,KEN,19,447,163,59,137,359
Kiribati,KIR,31,0,78,49,660,787
Kosovo,OWID_KOS,71,352,189,126,80,395
Kuwait,KWT,51,9,179,385,194,758
Kyrgyzstan,KGZ,21,396,111,156,124,391
Laos,LAO,75,81,229,196,237,662
Latvia,LVA,57,110,424,173,59,656
Lebanon,LBN,38,244,377,17,149,543
Lesotho,LSO,65,364,84,79,231,394
Liberia,LBR,69,214,254,174,114,542
Libya,LBY,40,0,361,214,203,778
Liechtenstein,LIE,72,0,129,619,0,748
Lithuania,LTU,72,20,576,80,56,712
Luxembourg,LUX,224,9,0,591,0,591
Macao,MAC,5,42,124,620,31,775
Madagascar,MDG,74,129,49,189,337,575
Malawi,MWI,79,311,134,51,250,435
Malaysia,MYS,29,0,226,494,61,781
Mali,MLI,76,433,182,6,122,310
Malta,MLT,53,2,14,654,102,770
Mauritania,MRT,42,449,140,0,187,327
Mauritius,MUS,77,5,349,104,290,743
Moldova,MDA,70,225,187,222,115,524
Monaco,MCO,70,196,358,194,0,552
Mongolia,MNG,26,290,14,85,406,505
Morocco,MAR,72,0,120,385,248,753
Mozambique,MOZ,41,358,273,69,84,426
Myanmar,MMR,31,45,167,242,330,739
Namibia,NAM,60,592,26,10,137,173
Nepal,NPL,24,94,387,157,163,707
Netherlands,NLD,72,0,0,731,0,731
New Zealand,NZL,32,0,33,51,709,793
Nicaragua,NIC,140,574,101,0,0,101
Niger,NER,104,49,516,0,142,658
Nigeria,NGA,82,6,593,0,144,737
Norway,NOR,73,47,344,247,92,683
Oman,OMN,33,66,256,326,138,720
Pakistan,PAK,50,135,320,245,61,626
Palestine,PSE,64,0,277,0,481,758
Panama,PAN,21,139,387,101,177,665
Papua New Guinea,PNG,26,30,444,214,111,769
Paraguay,PRY,73,219,202,116,205,523
Peru,PER,65,34,126,394,199,719
Philippines,PHL,30,0,154,498,136,788
Poland,POL,73,6,346,305,92,743
Portugal,PRT,69,38,110,594,0,704
Puerto Rico,PRI,29,304,3,488,0,491
Qatar,QAT,23,10,308,369,108,785
Romania,ROU,26,82,313,311,86,710
Russia,RUS,29,27,123,535,107,765
Rwanda,RWA,26,254,381,0,164,545
San Marino,SMR,53,418,256,35,63,354
Saudi Arabia,SAU,92,0,63,453,207,723
Senegal,SEN,74,254,0,378,119,497
Serbia,SRB,106,571,79,5,62,146
Seychelles,SYC,37,261,32,466,28,526
Sierra Leone,SLE,80,363,259,7,116,382
Singapore,SGP,0,21,84,719,0,803
Slovakia,SVK,68,644,15,84,0,99
Slovenia,SVN,94,140,353,228,0,581
Solomon Islands,SLB,36,0,13,420,356,789
Somalia,SOM,73,356,233,18,138,389
South Africa,ZAF,22,529,22,27,216,265
South Korea,KOR,34,0,377,413,0,790
South Sudan,SSD,54,90,518,37,118,673
Sri Lanka,LKA,25,200,389,64,143,596
Sudan,SDN,75,237,202,182,119,503
Suriname,SUR,73,0,152,250,350,752
Sweden,SWE,66,0,0,760,0,760
Switzerland,CHE,72,0,10,739,0,749
Syria,SYR,31,575,0,205,0,205
Taiwan,TWN,22,0,203,387,200,790
Tajikistan,TJK,33,46,51,388,297,736
Tanzania,TZA,100,517,130,35,36,201
Timor,TLS,33,59,264,77,382,723
Togo,TGO,79,149,358,20,198,576
Tonga,TON,26,9,41,24,709,774
Trinidad and Tobago,TTO,29,52,135,85,502,722
Tunisia,TUN,63,46,373,226,103,702
Turkmenistan,TKM,7,44,0,110,664,774
Uganda,UGA,19,414,159,186,47,392
Ukraine,UKR,75,259,235,114,123,472
United Arab Emirates,ARE,22,180,296,213,100,609
United States Virgin Islands,VIR,285,329,210,0,0,210
Uruguay,URY,72,0,122,200,426,748
Uzbekistan,UZB,60,16,237,361,143,741
Vanuatu,VUT,85,0,28,91,621,740
Venezuela,VEN,71,0,0,371,383,754
Vietnam,VNM,24,26,143,198,434,775
Yemen,YEM,75,226,56,234,234,524
Zambia,ZMB,51,297,434,0,36,470
Zimbabwe,ZWE,27,312,267,0,205,472